russisk; norsk
банк; bank
кот; катт
кто; hvem
мама; mamma
окно; vindu
он; han
оно; det
папа; pappa
парк; park
собака; hund
там; der
что; hva
ето; det dette
автобус; buss
аптека; apotek
врач; lege
где; hvor
да; ja
дом; hus
дома; hjemme
и; og
или; eller
книга; bok
комната; rom
меня зовут; jeg heter
море; hav
не; ikke
нет; nei
они; de
пока!; ha det!
привет!; hei!
слева; til venstre
справа; til høyre
стена; vegg
стол; bord
студент; student
стул; stol
театр; teater
урок; leksjon
алло!; hei!(i telefon)
б + akkussativ; i (om lokasjon)
девочка; jente
завтрак; frokost
завтракать; å spise frokost (imperfektiv)
здравствуйте! pl (sg - здравствуй!); god dag!
играть; å spille (imperfektiv)
картина; bilde
компьютер; datamaskin
мальчик; gutt
музей; museum
на + akkussativ; på (om lokasjon)
отдыхать; å slappe av,hvile,feriere (imperfektiv)
работать; å arbeide (imperfektiv)
работа; arbeid
словарь маsk; ordbok
ты; du
учитель mask; lærer
школа; skole
я; jeg
бабушка; bestemor
дедушка; bestefar
девушка; ung kvinne,kjæreste
друг; venn
дядя; onkel
его; hans
её; hennes
жена; kone
жить; å bo,leve (imperfektiv)
их; deres
кошка; katt
муж; mann,ektemann
очень; veldig
подруга; venninne
семья; familie
сестра; søster
сын; sønn
тётя; tante
читать; å lese (imperfektiv)
аудитория; forelesningssal
библиотека; bibliotek
дверь fem; dør
квартира; leilighet
класс; klasse
кресло; lenestol
кухня; kjøkken
лампа; lampe
лежать; å ligge (imperfektiv)
мебель fem; møbler
площадь fem; plass
полка; hylle
почта; posтkontor
ресторан; restaurant
рецепт; oppskrift
стадион; stadion
стоять; å stå (imperfektiv)
улица; gate
учительница; kvinnelig lærer
фотография; fotografi
центр; sentrum
цирк; sirkus
шкаф; skap
вечер; kveld
воскресенье; søndag
все; alle
вторник; tirsdag
гитара; gitar
говорить (по телефону); å snakke (i telefon) (imperfektiv)
гулять; å gå tur,spasere (imperfektiv)
день masc; dag
диван; sofa
добрый; god,snill
добрый вечер; god kveld
думать; å tenke (imperfektiv)
любить; å like,elske (imperfektiv)
музыка; musikk
неделя; uke
ночь fem; natt
о + lokativ; оm,på
обед; lunsj
отдых; hvile,fri
повторять; å repetere (imperfektiv)
поздно; sent
понедельник; mandag
пятница; fredag
скоро; snart
среда; onsdag
суббота; lørdag
телефон; telefon,også telefonnummer
утро; morgen
четверг; torsdag
английский; engelsk
белый; hvit
большой; stor
город; by
жёлтый; gul
зелйёный; grønn
красивый; vakker
красный; rød
магазин; butikk
маленький; liten
машина; bil
молодой; ung
новый; ny
плохой; dårlig
сад; hage
старый; gammel
сумка; veske
хороший; bra
цвет; farge
чёрный; svart
вино; vin
вкусный; smakfull
вода; vann
еда; mat
колбаса; pølse
молоко; melk
мясо; kjøtt
обедать; å spise lunsj (imperfektiv)
пиво; øl
продуйкт; matvare
рыба; fisk
салат; salat
сок; juice
суп; suppe
сыр; ost
ужин; middag (kveldsmat)
ужинать; å spise middag (kveldsmat) (imperfektiv)
фрукт; frukt
жлеб; brød
чай; te
чашка; kopp
балет; ballett
газета; avis
дочь fem; datter
журнал; tidsskrift
концерт; konsert
мать fem; mor
отец masc; far
писать; å skrive (imperfektiv)
письмо; brev
покупать; å kjøpe (imperfektiv)
спать; å sove
спорт; sport
теннис; tennis
фильм; film
футбол; fotball
видеть; å se (еngelsk to see) (imperfektiv)
гитара; gitar
игра; spill
карандаш; blyant
комедия; komedie
любимый; favoritt
обычно; vanligvis
роман; roman
ручка; penn
свободный; ledig
